action, id, source, target, label
NEW ITERATION, 0, , ,
insert, 0, 0, 1, 0
insert, 4, 1, 8, 1
insert, 5, 1, 3, 2
insert, 10, 3, 7, 1
insert, 11, 3, 5, 2
insert, 16, 5, 8, 1
insert, 17, 5, 7, 2
insert, 21, 7, 8, 0
NEW ITERATION, 1, , ,
NEW ITERATION, 2, , ,
NEW ITERATION, 3, , ,
NEW ITERATION, 4, , ,
NEW ITERATION, 5, , ,
NEW ITERATION, 6, , ,
NEW ITERATION, 7, , ,
NEW ITERATION, 8, , ,
NEW ITERATION, 9, , ,
NEW ITERATION, 10, , ,
NEW ITERATION, 11, , ,
NEW ITERATION, 12, , ,
NEW ITERATION, 13, , ,
NEW ITERATION, 14, , ,
NEW ITERATION, 15, , ,
NEW ITERATION, 16, , ,
NEW ITERATION, 17, , ,
NEW ITERATION, 18, , ,
NEW ITERATION, 19, , ,
NEW ITERATION, 20, , ,
NEW ITERATION, 21, , ,
